device,t_sim,hub_x,hub_y,hub_z,hub_r_xy,elev_deg,omega_hub,omega_gnd
Stack×3,1.6800000000000002,25.971445894222782,1.185915733503801e-10,15.004074661282974,0.008779244821209176,30.015638913063345,-1.6093943088354514e-6,-2.2725591019846926e-6
Stack×3,1.7000000000000002,25.971355887935687,1.3169731320264525e-10,15.00414204936794,0.00886925110830461,30.015836384774175,-1.7173730559974538e-6,-2.414936224747583e-6
Stack×3,1.7200000000000002,25.97126622053222,1.4596899260057118e-10,15.00420891790833,0.008958918511773108,30.016032673878243,-1.8316323357981372e-6,-2.5622722796192157e-6
Stack×3,1.7400000000000002,25.971176811307544,1.614918390544008e-10,15.004276253017077,0.009048327736447705,30.01622948857663,-1.9520563005429576e-6,-2.7151652555121065e-6
Stack×3,1.76,25.971087586748403,1.7836009314834754e-10,15.004344876735448,0.009137552295587882,30.016428258813445,-2.078542501112232e-6,-2.874498124455299e-6
Stack×3,1.78,25.970998523579862,1.9667816623289555e-10,15.004414845025835,0.009226615464129397,30.016629099387615,-2.211317964319999e-6,-3.041396661342762e-6
Stack×3,1.8,25.970909661307314,2.1655489323990894e-10,15.004485519695598,0.009315477736677737,30.01683091693523,-2.350982256500087e-6,-3.2171829352036012e-6
Stack×3,1.82,25.97082102621591,2.3810396181177886e-10,15.004556530224464,0.009404112828082848,30.01703307347135,-2.4980902343612704e-6,-3.403309878162818e-6
Stack×3,1.84,25.97073264452475,2.614432035880974e-10,15.004627573896949,0.009492494519239617,30.01723504322747,-2.6531955797668554e-6,-3.6012900474891303e-6
Stack×3,1.86,25.970644500693844,2.8669790411589926e-10,15.00469888391717,0.009580638350147557,30.017437226779816,-2.8165646641535052e-6,-3.812543155159433e-6
Stack×3,1.8800000000000001,25.970556576583643,3.140025527954593e-10,15.004770670345172,0.00966856246034809,30.017639988906815,-2.988441229584241e-6,-4.038162561900431e-6
Stack×3,1.9,25.970468831708214,3.435034425819665e-10,15.004843386106765,0.009756307335777599,30.017844117453155,-3.168896157308447e-6,-4.278673353454284e-6
Stack×3,1.92,25.970381335872705,3.753540850503351e-10,15.004915982339664,0.009843803171285977,30.01804781083539,-3.3589914727604826e-6,-4.534009067794449e-6
Stack×3,1.94,25.970294177581835,4.097014679451609e-10,15.004987480830472,0.009930961462156782,30.018249366459045,-3.559871991231906e-6,-4.803787639081417e-6
Stack×3,1.96,25.97020727384781,4.46704250156069e-10,15.005059122154986,0.01001786519618265,30.01845091559635,-3.7711123618352224e-6,-5.087775852644497e-6
Stack×3,1.98,25.970120594031656,4.865396847117559e-10,15.005131176852382,0.010104545012335832,30.01865293500569,-3.9928880264121145e-6,-5.386289340865112e-6
Stack×3,2.0,25.97003415972132,5.293913445535261e-10,15.00520330201628,0.010190979322672447,30.01885483686826,-4.225869305321939e-6,-5.700144949195011e-6
Stack×3,2.02,25.969947876377493,5.754573868788493e-10,15.00527675217789,0.010277262666498659,30.019058786573762,-4.46936421630278e-6,-6.030214051708035e-6
Stack×3,2.04,25.969861627419206,6.249734188292805e-10,15.005352721184744,0.010363511624785124,30.019266870199935,-4.722598706924108e-6,-6.376939097366864e-6
Stack×3,2.06,25.969775482676297,6.781870382904675e-10,15.005429992736321,0.010449656367693927,30.019477009192357,-4.987109121046474e-6,-6.74020044748605e-6
Stack×3,2.08,25.969689458078175,7.353498938330682e-10,15.005508360980189,0.010535680965816167,30.019688847831688,-5.2636440830367195e-6,-7.119591565736024e-6
Stack×3,2.1,25.96960350587445,7.967389204821342e-10,15.005588372887706,0.010621633169542151,30.019903336455176,-5.552181930678523e-6,-7.515019523544444e-6
Stack×3,2.12,25.96951772289532,8.626450691636683e-10,15.005668590314208,0.010707416148672912,30.020118003772435,-5.854965900702255e-6,-7.927131325851043e-6
Stack×3,2.14,25.969432232365175,9.333396827631164e-10,15.005747649718343,0.010792906678815979,30.020330476670058,-6.174416261273791e-6,-8.357183186104601e-6
Stack×3,2.16,25.969346943796282,1.0091167190669245e-9,15.005826956406537,0.010878195247709546,30.020543166047524,-6.50953684251779e-6,-8.806468818131919e-6
Stack×3,2.18,25.969261870520988,1.0903036775019275e-9,15.005906189578747,0.010963268523003276,30.020755528544907,-6.861365980886104e-6,-9.275870411168322e-6
Stack×3,2.2,25.96917720860605,1.1771986048486602e-9,15.005982938188072,0.011047930437939675,30.020963388832932,-7.23407857320928e-6,-9.765699844828311e-6
Stack×3,2.22,25.969092911858592,1.270094521387332e-9,15.006058236873145,0.011132227185399374,30.021168502380867,-7.627110253015602e-6,-1.0275859428058297e-5
Stack×3,2.24,25.969008889187844,1.3693333824220508e-9,15.00613326011404,0.011216249856147525,30.021372898865835,-8.039335884288736e-6,-1.0806454210224238e-5
Stack×3,2.26,25.96892514991695,1.4752737270735467e-9,15.006207806101731,0.01129998912704276,30.021576235576052,-8.471645078545941e-6,-1.1358365415906918e-5
Stack×3,2.2800000000000002,25.968841663892075,1.5882867474754993e-9,15.006282290922373,0.011383475151916511,30.021779229542886,-8.92392662709294e-6,-1.1933437108792239e-5
Stack×3,2.3,25.968758301495477,1.7087984868978845e-9,15.006358262439782,0.011466837548514647,30.0219845648437,-9.3938546539349e-6,-1.253429654005304e-5
Stack×3,2.3200000000000003,25.96867500474552,1.8372842276302803e-9,15.006436183239062,0.011550134298470884,30.02219306201121,-9.880872885128651e-6,-1.3163975025713972e-5
Stack×3,2.34,25.96859173052944,1.9742641812538827e-9,15.006516316383221,0.011633408514551913,30.022405197351937,-1.0384838501630838e-5,-1.3825436065743912e-5
Stack×3,2.3600000000000003,25.968508549139035,2.12027448033655e-9,15.00659752097876,0.011716589904956913,30.022619016615387,-1.090880982852777e-5,-1.4521489160405504e-5
Stack×3,2.38,25.968425490419193,2.27585474844703e-9,15.006679431379899,0.01179964862479843,30.022833886485184,-1.145455125539273e-5,-1.5254821286010172e-5
Stack×3,2.4000000000000004,25.968342558376627,2.44157532560486e-9,15.006761997031449,0.011882580667365058,30.02304971950623,-1.2023173424120137e-5,-1.6027912591510198e-5
Stack×3,2.42,25.96825971170359,2.6180481331398298e-9,15.006845752357876,0.011965427340403354,30.02326743909724,-1.2614204231312309e-5,-1.6842519462562076e-5
Stack×3,2.4400000000000004,25.96817690272434,2.8059530477387603e-9,15.006931158635128,0.012048236319650456,30.02348785377247,-1.3227081559876007e-5,-1.7698930166950075e-5
Stack×3,2.46,25.968094199489588,3.005992695705726e-9,15.007017190745419,0.012130939554403513,30.023709202926874,-1.3865303123482329e-5,-1.8595525528206327e-5
Stack×3,2.4800000000000004,25.968011642260006,3.218874454448423e-9,15.007103393537372,0.012213496783985957,30.023930695250044,-1.453124102007008e-5,-1.952878804137194e-5
Stack×3,2.5,25.967929272954915,3.445325852171036e-9,15.007189307240594,0.01229586608907644,30.024151530208908,-1.5227534399045481e-5,-2.0494130308345854e-5
Stack×3,2.52,25.96784710836152,3.686100720200175e-9,15.007274818931707,0.012378030682470446,30.0243715049799,-1.5955876069862934e-5,-2.148730645041819e-5
Stack×3,2.54,25.967765155319675,3.9419846254800306e-9,15.007359933252884,0.012459983724316627,30.024590620701158,-1.671754734053131e-5,-2.2505897387481723e-5
Stack×3,2.56,25.96768333416277,4.2138341737881856e-9,15.007445727981548,0.012541804881220739,30.024810736158276,-1.7509909706322182e-5,-2.3549911826393414e-5
Stack×3,2.58,25.967601633270586,4.502592091714114e-9,15.007532170865645,0.01262350577340579,30.025031809107176,-1.8333884304654272e-5,-2.462120394214364e-5
Stack×3,2.6,25.967520141261467,4.8091894334480525e-9,15.00761809278767,0.012704997782525339,30.025251821124506,-1.919506654567465e-5,-2.572215204015469e-5
Stack×3,2.62,25.967438866818274,5.134571750606149e-9,15.00770351688256,0.01278627222571874,30.025470802173903,-2.0095039723999257e-5,-2.6854725295381118e-5
Stack×3,2.64,25.967357806518912,5.4797394523874275e-9,15.007788539779071,0.012867332525080601,30.02568891534748,-2.103504736990142e-5,-2.8021226489153768e-5
Stack×3,2.66,25.967276975994004,5.845731827780431e-9,15.007872990381657,0.012948163049988791,30.025905862712595,-2.2017408827072903e-5,-2.9226056657458213e-5
Stack×3,2.68,25.96719636218385,6.233628037588258e-9,15.007957109602241,0.01302877686014419,30.026122055215446,-2.3042574093425e-5,-3.0476936440171453e-5
Stack×3,2.7,25.967115889075362,6.644616636371542e-9,15.008041841573904,0.013109249968630629,30.026339127091905,-2.410725565239542e-5,-3.178424301494965e-5
Stack×3,2.72,25.967035518442795,7.07998446663849e-9,15.008127537574792,0.013189620601197783,30.026557695882076,-2.521048700735587e-5,-3.3158728073340424e-5
Stack×3,2.74,25.96695521766801,7.541114455094573e-9,15.008214450360164,0.01326992137598496,30.026778210809198,-2.6351676343801523e-5,-3.4608918934472134e-5
Stack×3,2.7600000000000002,25.96687500405425,8.029449828275761e-9,15.008302212559364,0.013350134989745327,30.02700004770212,-2.7533766615154328e-5,-3.614026589501613e-5
Stack×3,2.7800000000000002,25.966794913926854,8.54647460104313e-9,15.00839028461436,0.013430225117139705,30.027222279415472,-2.876127859746214e-5,-3.775625101655552e-5
Stack×3,2.8,25.96671505983592,9.093632525709226e-9,15.008477284948572,0.013510079208074406,30.02744251326887,-3.0044624390759005e-5,-3.946037756989281e-5
