run_id,wind_speed,payout_duration,field_imu,damping_mode,active_winch,payout_base_m,mppt_stall,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,is_disqualified,disqualification_reason,smoothness_raw,tension_raw,composite_score
35,11.0,15.0,1,0,0,15.0,1,70.0,30.0,16203.935283087156,1.859011384259632,0.0,3663.0615697717094,3573.091944466599,1500,15.828160000069824,1,-0.06833776419784914,0.0,15.840000000069901,14.999999999997222,8551.004597291221,1963.7055639899963,954.9049048771074,0.8261638734722396,0.10031608323357542,1,ring_buckling,16204.864788779285,-300000.0,-99999.0
36,11.0,15.0,1,0,0,15.0,1,85.0,30.0,56280.661907815505,3.55279099169405,0.0,2582.5512985080945,5653.138416601786,1500,15.026960000064575,1,-0.06549657814831376,0.0,15.04000000006466,14.999999999997222,39834.87152257247,16.419159036091475,0.0,1.1742225792241499,0.032440005222082194,1,slack_sky_anchor,56282.438303311355,-300000.0,-99999.0
37,11.0,15.0,1,0,0,25.0,0,70.0,30.0,3262.9815966236756,1.9802011439956868,0.0,2525.2738203884433,2294.843304976716,1500,21.677199999856022,1,-0.15367524182520628,0.0,21.679999999855916,24.999999999994444,2183.6699230122795,1924.3812572808633,954.9049048771074,0.6385668184232998,0.1231133179406026,1,ring_buckling,3263.9716971956736,-300000.0,-99999.0
38,11.0,15.0,1,0,0,25.0,0,85.0,30.0,11695.14152942583,4.6356430445797265,0.0,2609.1301025857465,5454.165092874561,1500,13.497440000054555,1,-0.10186743040730466,0.0,13.500000000054571,24.999999999994444,9842.582401641377,155.78532260605465,0.0,0.838939843380146,0.02427824907914486,1,slack_sky_anchor,11697.45935094812,-300000.0,-99999.0
39,11.0,15.0,1,0,0,25.0,1,70.0,30.0,9919.443403450725,1.966653887606503,0.0,2057.888171715646,2267.27444192408,1500,19.931319999922117,1,-0.06511471144975475,0.0,19.93999999992179,24.999999999994444,7255.260769582134,1189.5730891966684,954.9049048771074,0.6385668184232998,0.1231133179406026,1,ring_buckling,9920.426730394529,-300000.0,-99999.0
40,11.0,15.0,1,0,0,25.0,1,85.0,30.0,88888.73573398312,4.547783805140406,0.0,2492.4230682283364,4739.469443352757,1500,15.132680000065267,1,-0.042992598254363294,0.0,15.140000000065315,24.999999999994444,91347.76879101146,4.24308280976843,0.0,1.0757922717071722,0.027359712933477838,1,slack_sky_anchor,88891.0096258857,-300000.0,-99999.0
41,11.0,15.0,1,0,1,15.0,0,70.0,30.0,4736.256169015024,1.7569426805938575,0.0,3229.6232328377505,3548.8959664212084,1500,25.42367999971419,1,-0.15147028345952157,0.0,25.43999999971357,14.990521444905623,2927.92590346409,2109.8958285177687,954.9049048771074,0.6176553410909662,0.11353965152343214,1,ring_buckling,4737.134640355321,-300000.0,-99999.0
42,11.0,15.0,1,0,1,15.0,0,85.0,30.0,13252.682684142206,3.76169491136946,0.0,1322.980137946546,4107.276883645654,1500,12.171520000045868,1,0.036036107296242986,0.0,12.180000000045924,3.138567169822844,14885.117826531989,6.788010848357437,0.0,0.9629025983997082,0.028500774950538835,1,slack_sky_anchor,13254.56353159789,-300000.0,-99999.0
43,11.0,15.0,1,0,1,15.0,1,70.0,30.0,21450.10581359526,1.6147448589042868,0.0,3411.5852241436714,3985.1215490273817,1500,23.646039999781486,1,-0.16366850604664585,0.0,23.659999999780958,11.664664145848066,20025.065565519533,787.4928276659973,954.9049048771074,0.7423678752795126,0.1113213542475404,1,ring_buckling,21450.91318602471,-300000.0,-99999.0
44,11.0,15.0,1,0,1,15.0,1,85.0,30.0,13252.682684142206,3.76169491136946,0.0,1322.980137946546,4107.276883645654,1500,12.171520000045868,1,0.036036107296242986,0.0,12.180000000045924,3.138567169822844,14885.117826531989,6.788010848357437,0.0,0.9629025983997082,0.028500774950538835,1,slack_sky_anchor,13254.56353159789,-300000.0,-99999.0
