island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,30,8,ok,-7.302,16,8,1,0.7,0.7,25.0,200.71571638037457,3143.0828562504157,2224.412579644859,0.7077168122441744
1,30,9,ok,-7.3,16,8,1,0.7,0.7,25.0,200.7995852618717,3144.396190593936,2224.412579644859,0.7074212169251789
1,30,10,ok,-7.299,16,8,1,0.7,0.7,25.0,200.61586461595687,3141.5192399349257,2224.412579644859,0.7080690614172193
2,0,2,ok,9.333,3,7,2,1.602,1.5,25.0,43.711574637868054,684.4959793961958,2224.412579644859,3.249708758855014
2,0,3,clearance_reject,1.0e9,13,6,2,1.983,1.5,25.0,164.2383720885012,2571.8704093483684,2224.412579644859,0.8649007242197928
2,0,4,clearance_reject,1.0e9,15,7,2,1.19,1.19,25.0,190.76399358612898,2987.2450879439566,2224.412579644859,0.7446367854523327
2,0,5,ok,4.966,12,9,2,1.236,1.236,25.0,153.0096185847213,2396.0351370973945,2224.412579644859,0.9283722701744506
2,0,6,clearance_reject,1.0e9,9,4,2,1.741,1.5,25.0,115.30004389756874,1805.5267312131764,2224.412579644859,1.2320020197929848
2,0,7,clearance_reject,1.0e9,14,6,2,1.538,1.5,25.0,177.23625067433318,2775.409076312205,2224.412579644859,0.8014719698908398
2,0,8,reject,1.0e9,7,13,2,1.056,1.056,25.0,91.73663889072581,1436.5385142090854,2224.412579644859,1.5484531445852345
2,0,9,reject,1.0e9,6,17,2,0.731,0.731,25.0,80.11224181151292,1254.5077104792888,2224.412579644859,1.7731358373198158
2,0,10,clearance_reject,1.0e9,9,7,2,1.355,1.355,25.0,118.00186624401479,1847.8355830105895,2224.412579644859,1.2037935626397727
2,1,1,ok,-5.656,3,7,1,0.914,0.914,25.0,42.18258969195077,660.5530293490241,2224.412579644859,3.3675003834847606
2,1,2,ok,2.199,5,4,1,1.472,1.472,25.0,67.07878470055442,1050.4119060157468,2224.412579644859,2.117657432199281
2,1,3,reject,1.0e9,12,10,1,1.181,1.181,25.0,152.0508356500292,2381.0211946954687,2224.412579644859,0.9342262826557325
2,1,4,reject,1.0e9,13,5,2,1.19,1.19,25.0,163.91288792235696,2566.7735304340626,2224.412579644859,0.8666181699593467
2,1,5,reject,1.0e9,10,12,1,1.18,1.18,25.0,127.40636201860461,1995.1041177015923,2224.412579644859,1.1149355865233919
2,1,6,reject,1.0e9,16,6,2,1.114,1.114,25.0,200.50801666610897,3139.830408345843,2224.412579644859,0.708449913005571
2,1,7,clearance_reject,1.0e9,14,5,2,1.249,1.249,25.0,176.93952359406526,2770.7625154160573,2224.412579644859,0.802816036115907
2,1,8,reject,1.0e9,7,13,3,1.056,1.056,25.0,91.89838779624205,1439.0714011255334,2224.412579644859,1.5457277365842241
2,1,9,reject,1.0e9,16,17,3,1.075,1.075,25.0,202.4607607905107,3170.409162669293,2224.412579644859,0.7016168782997201
2,1,10,reject,1.0e9,6,18,1,1.02,1.02,25.0,83.48137771797178,1307.2662761707793,2224.412579644859,1.7015757387703505
2,2,1,ok,-4.228,9,5,1,1.222,1.222,25.0,115.01738418920947,1801.1004565819803,2224.412579644859,1.2350297128158052
2,2,2,ok,1.493,6,6,2,0.981,0.981,25.0,79.48024194141519,1244.6109869307843,2224.412579644859,1.7872352108430838
2,2,3,clearance_reject,1.0e9,12,4,2,1.276,1.276,25.0,152.14519826755384,2382.4988543962695,2224.412579644859,0.9336468622179169
2,2,4,clearance_reject,1.0e9,13,4,2,1.379,1.379,25.0,164.16950256426105,2570.791955578724,2224.412579644859,0.8652635522753183
