# v13_5kw telemetry  length=25.0  window=20.0  min_clearance=1.5
island,gen,idx,fitness,status,P_mean,P_end,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3,16,9,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.76,3,4,2,1.602,1.5,4.3,3.1,0.104,1.0,25.0,0.009487,0.012615,1.32,0.4,1.601731,0.90724,3.587896,3.0,0.644503,9.663787,4.315397,3.052713,0.1038,1.0
3,16,10,-7.131,ok,7.24,7.13,75.84,false,9.49,3,7,1,0.7,0.7,0.0,7.4,0.104,0.854,25.0,0.009487,0.013063,0.954099,0.4,0.7,0.715638,4.1832,3.0,-0.350542,0.0,0.0,7.358952,0.1038,0.854152
3,17,1,-6.433,ok,6.73,6.43,34.53,false,9.45,5,4,1,1.316,1.316,0.0,4.7,0.104,0.963,25.0,0.009487,0.014208,1.000837,0.4,1.315984,0.720828,4.1832,5.0,-0.709733,2.706199,0.0,4.653666,0.1038,0.962843
3,17,2,1.0e9,clearance_reject,NaN,NaN,NaN,false,-0.09,3,6,2,0.904,0.904,0.0,5.1,0.104,0.859,25.0,0.009487,0.011968,1.142723,0.4,0.904207,0.948683,3.911897,3.0,0.079465,2.157406,0.0,5.090397,0.1038,0.858775
3,17,3,-7.177,ok,7.35,7.18,23.78,false,9.49,3,8,1,0.7,0.7,11.3,0.0,0.104,0.58,25.0,0.021757,0.011652,1.191068,0.4,0.7,0.675935,3.789552,3.0,0.8,9.098349,11.306133,0.0,0.1038,0.579806
3,17,4,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.29,3,5,2,1.201,1.201,13.5,2.3,0.104,0.61,25.0,0.02846,0.011973,1.277918,0.4,1.201322,0.641887,3.905602,3.0,0.8,11.149944,13.511673,2.251119,0.1038,0.60972
3,17,5,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.03,3,5,2,1.061,1.061,3.0,14.2,0.104,1.0,25.0,0.02846,0.013301,1.038091,0.4,1.06128,0.897804,4.1832,3.0,-0.183638,1.374656,3.01923,14.177308,0.1038,1.0
3,17,6,-7.188,ok,7.36,7.19,11.01,false,9.47,4,8,1,0.7,0.7,1.9,0.1,0.104,0.894,25.0,0.009487,0.013778,1.189996,0.4,0.7,0.928089,3.867059,4.0,-0.114677,0.0,1.866473,0.069592,0.1038,0.893656
3,17,7,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.65,4,4,2,1.417,1.417,0.0,15.9,0.104,0.928,25.0,0.021757,0.015,1.056589,0.4,1.417146,0.870924,4.1832,4.0,-0.462865,0.564921,0.0,15.880451,0.1038,0.927981
3,17,8,1.0e9,clearance_reject,NaN,NaN,NaN,false,-3.16,9,4,2,1.88,1.5,0.0,16.7,0.104,0.85,25.0,0.02846,0.012308,1.19155,0.4,1.879543,0.316228,4.139479,9.0,-0.162,7.276307,0.0,16.725227,0.1038,0.850124
3,17,9,1.0e9,clearance_reject,NaN,NaN,NaN,false,-0.63,4,8,3,0.7,0.7,10.2,0.0,0.104,0.507,25.0,0.021757,0.01197,1.104634,0.4,0.7,0.821529,3.865011,4.0,0.666364,6.821534,10.244582,0.047692,0.1038,0.506928
3,17,10,-7.188,ok,7.36,7.19,13.95,false,9.47,4,8,1,0.7,0.7,6.4,0.0,0.104,0.619,25.0,0.017494,0.012503,0.954099,0.4,0.7,0.930134,3.610165,4.0,0.240458,0.0,6.428632,0.0,0.1038,0.619437
3,18,1,-5.316,ok,6.43,5.74,56.19,false,9.44,6,4,1,1.874,1.5,3.5,15.8,0.104,1.0,25.0,0.009487,0.014219,1.041806,0.4,1.873805,0.720828,4.1832,6.0,-0.227435,2.706199,3.489533,15.825771,0.1038,1.0
3,18,2,-1.292,ok,5.74,4.54,2.49,false,2.02,5,9,2,0.7,0.7,11.7,0.0,0.104,0.341,25.0,0.027391,0.01,1.178411,0.4,0.7,0.900712,3.184661,5.0,0.789193,3.67036,11.731629,0.0,0.1038,0.341226
3,18,3,-7.028,ok,7.17,7.03,113.56,false,9.45,5,7,1,0.834,0.834,3.0,16.7,0.104,0.723,25.0,0.021757,0.010181,1.036627,0.4,0.834007,0.317571,3.452697,5.0,0.07123,0.0,2.996141,16.679524,0.1038,0.722787
3,18,4,-7.178,ok,7.35,7.18,13.88,false,9.49,3,8,1,0.7,0.7,4.3,0.0,0.104,0.554,25.0,0.012437,0.013865,1.292402,0.4,0.7,0.948683,3.549417,3.0,0.8,0.0,4.315397,0.0,0.1038,0.553733
3,18,5,-5.826,ok,6.56,5.95,45.21,false,9.47,4,4,1,1.658,1.5,6.8,1.6,0.104,0.939,25.0,0.02846,0.013313,1.009159,0.4,1.657598,0.715638,4.1832,4.0,-0.148788,4.301371,6.793109,1.584899,0.1038,0.938505
3,18,6,-6.541,ok,6.9,6.54,42.8,false,9.44,6,5,1,1.316,1.316,0.0,0.2,0.104,0.97,25.0,0.009487,0.015,1.114477,0.4,1.315984,0.928089,3.591428,6.0,-0.227435,0.0,0.0,0.230192,0.1038,0.970211
3,18,7,-6.474,ok,6.78,6.47,14.7,false,9.49,3,4,1,1.23,1.23,3.2,7.6,0.104,0.759,25.0,0.020659,0.01496,1.32,0.4,1.229564,0.926624,4.1832,3.0,0.533744,14.969252,3.22479,7.635257,0.1038,0.759324
3,18,8,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.3,4,5,2,1.132,1.132,0.0,0.2,0.104,0.839,25.0,0.016137,0.012876,1.252617,0.4,1.132272,0.529052,3.897255,4.0,0.471652,10.997449,0.0,0.161539,0.1038,0.839086
3,18,9,-7.069,ok,7.19,7.07,55.4,false,9.47,4,7,1,0.753,0.753,1.1,0.8,0.104,0.759,25.0,0.009487,0.014834,1.32,0.4,0.752643,0.316228,3.999261,4.0,0.533744,13.017512,1.126596,0.805992,0.1038,0.759324
3,18,10,5.665,ok,4.13,2.52,19.22,false,3.07,3,6,2,0.854,0.854,8.0,7.5,0.104,0.51,25.0,0.028142,0.013377,1.32,0.4,0.853846,0.930134,4.1832,3.0,0.8,18.868134,7.992512,7.494852,0.1038,0.509792
3,19,1,-6.642,ok,6.97,6.64,45.63,false,9.47,4,5,1,1.159,1.159,2.3,6.6,0.104,0.823,25.0,0.021848,0.014005,1.041806,0.4,1.158702,0.948683,3.837411,4.0,-0.353541,0.0,2.316466,6.613567,0.1038,0.823254
3,19,2,-7.178,ok,7.35,7.18,13.14,false,9.49,3,8,1,0.7,0.7,9.0,0.0,0.104,0.412,25.0,0.019244,0.014192,1.013919,0.4,0.7,0.948683,3.567463,3.0,0.8,0.0,8.988274,0.0,0.1038,0.412345
3,19,3,-7.136,ok,7.33,7.14,12.51,false,9.47,4,8,1,0.75,0.75,6.8,0.0,0.104,0.576,25.0,0.011643,0.013071,1.01128,0.4,0.750009,0.805131,3.277449,4.0,0.491501,0.0,6.794175,0.0,0.1038,0.576097
3,19,4,-6.715,ok,7.01,6.72,38.36,false,9.47,4,5,1,1.101,1.101,4.7,0.0,0.104,0.554,25.0,0.013923,0.01473,1.254502,0.4,1.10077,0.806139,3.665009,4.0,0.8,0.0,4.716103,0.0,0.1038,0.553733
3,19,5,-7.187,ok,7.36,7.19,23.58,false,9.47,4,8,1,0.7,0.7,0.0,0.0,0.104,0.484,25.0,0.019097,0.01,1.266414,0.4,0.7,0.715638,3.449058,4.0,0.8,9.098349,0.0,0.0,0.1038,0.484497
