v_wind_m_s,bank_angle_deg,omega_rad_s,v_axial_m_s,v_app_m_s,phi_inflow_deg,lambda,L_per_blade_N,D_per_blade_N,LD_ratio,F_radial_N,F_axial_N,tau_lift_Nm,tau_drag_Nm,tau_net_Nm,P_per_rotor_kW,P_total_3rotors_kW
6.0,10.0,20.0,5.2,40.34,7.4,6.67,358.8,25.1,14.3,494.2,2802.9,728.2,398.5,329.8,6.595,19.785
6.0,15.0,3.0,5.2,7.94,40.89,1.0,13.9,1.0,14.3,21.7,81.1,140.5,11.8,128.8,0.386,1.159
6.0,15.0,5.0,5.2,11.27,27.46,1.67,28.0,2.0,14.3,51.5,192.0,199.6,27.8,171.7,0.859,2.576
6.0,15.0,7.0,5.2,14.93,20.36,2.33,49.2,3.4,14.3,95.4,356.2,264.4,51.6,212.8,1.49,4.469
6.0,15.0,9.0,5.2,18.73,16.1,3.0,77.4,5.4,14.3,154.0,574.6,331.7,83.3,248.5,2.236,6.709
6.0,15.0,10.0,5.2,20.66,14.56,3.33,94.2,6.6,14.3,188.7,704.2,365.9,102.1,263.8,2.638,7.915
6.0,15.0,12.0,5.2,24.56,12.22,4.0,133.0,9.3,14.3,269.1,1004.2,434.8,145.5,289.3,3.471,10.414
6.0,15.0,15.0,5.2,30.45,9.83,5.0,204.4,14.3,14.3,417.0,1556.3,539.1,225.6,313.6,4.703,14.11
6.0,15.0,20.0,5.2,40.34,7.4,6.67,358.8,25.1,14.3,736.6,2749.1,714.2,398.5,315.8,6.316,18.947
6.0,20.0,3.0,5.2,7.94,40.89,1.0,13.9,1.0,14.3,28.7,78.9,136.7,11.8,125.0,0.375,1.125
6.0,20.0,5.0,5.2,11.27,27.46,1.67,28.0,2.0,14.3,68.0,186.8,194.1,27.8,166.3,0.832,2.495
6.0,20.0,7.0,5.2,14.93,20.36,2.33,49.2,3.4,14.3,126.1,346.5,257.2,51.6,205.6,1.439,4.318
6.0,20.0,9.0,5.2,18.73,16.1,3.0,77.4,5.4,14.3,203.5,559.0,322.7,83.3,239.5,2.155,6.465
6.0,20.0,10.0,5.2,20.66,14.56,3.33,94.2,6.6,14.3,249.3,685.1,356.0,102.1,253.9,2.539,7.617
6.0,20.0,12.0,5.2,24.56,12.22,4.0,133.0,9.3,14.3,355.6,976.9,423.0,145.5,277.5,3.33,9.989
